iter	RMSE
0	76877.71944
1	74852.47365
2	72952.27854
3	71147.36435
4	69651.59502
5	67966.57335
6	66279.61995
7	64752.58633
8	63138.24764
9	61810.33464
10	60376.46916
11	59029.81859
12	57810.42579
13	56624.97775
14	55485.0711
15	54288.27138
16	53257.99931
17	52294.71577
18	51301.53612
19	50285.13291
20	49293.59674
21	48347.13764
22	47399.2294
23	46498.3254
24	45545.78802
25	44685.42615
26	43843.5712
27	43082.65454
28	42389.71439
29	41668.71828
30	41037.17576
31	40387.99361
32	39771.0767
33	39227.17072
34	38627.51792
35	38096.41878
36	37583.98241
37	37026.5397
38	36565.26287
39	36096.26779
40	35663.39964
41	35244.43783
42	34817.76569
43	34430.50992
44	34019.04524
45	33566.25478
46	33187.34122
47	32867.19562
48	32466.66457
49	32147.51595
50	31747.66449
51	31413.4431
52	31081.37037
53	30755.80684
54	30485.01352
55	30147.08201
56	29782.60394
57	29492.27352
58	29236.46172
59	28954.31352
60	28709.81538
61	28455.5254
62	28191.88092
63	27964.95835
64	27727.30401
65	27520.14543
66	27229.29088
67	27039.74563
68	26846.369
69	26637.39612
70	26458.9759
71	26298.91235
72	26092.07416
73	25926.87962
74	25734.28132
75	25549.18416
76	25366.26404
77	25222.63826
78	25003.93627
79	24862.88677
80	24732.3906
81	24636.90303
82	24480.45174
83	24379.24995
84	24226.08907
85	24076.1115
86	23971.30252
87	23861.27436
88	23742.25225
89	23673.4282
90	23551.11833
91	23414.71376
92	23275.22233
93	23152.93839
94	23039.9926
95	22954.00889
96	22880.42653
97	22741.12654
98	22636.29445
99	22535.35615
100	22454.53589
101	22344.27044
102	22251.86125
103	22144.95364
104	22057.62542
105	21972.14484
106	21915.77695
107	21828.7404
108	21763.24002
109	21641.488
110	21578.85443
111	21514.19209
112	21430.27187
113	21364.92806
114	21278.5232
115	21236.72855
116	21187.07816
117	21117.71539
118	21059.19123
119	20982.01607
120	20909.90536
121	20853.61191
122	20781.81776
123	20710.20557
124	20677.80164
125	20601.51907
126	20548.23863
127	20505.17751
128	20410.91745
129	20326.32631
130	20272.47724
131	20204.17531
132	20141.28527
133	20076.78103
134	20013.43919
135	19979.98931
136	19915.13865
137	19881.83363
138	19827.67451
139	19760.65854
140	19701.31348
141	19639.22342
142	19587.61841
143	19534.91469
144	19475.88768
145	19429.43815
146	19387.54718
147	19363.0285
148	19295.00012
149	19239.10976
150	19212.61273
151	19163.81057
152	19113.7701
153	19063.69771
154	19004.76749
155	18947.4791
156	18910.84772
157	18858.1325
158	18805.63708
159	18772.30909
160	18726.10909
161	18666.72122
162	18653.81546
163	18622.25714
164	18590.33648
165	18547.034
166	18501.98935
167	18465.72191
168	18417.90427
169	18370.87475
170	18320.21974
171	18274.64087
172	18224.05372
173	18181.11105
174	18154.91309
175	18085.98618
176	18043.38469
177	17989.50023
178	17952.46229
179	17924.03723
180	17878.76856
181	17843.12711
182	17800.01162
183	17762.36699
184	17715.94282
185	17688.35742
186	17656.13148
187	17644.98646
188	17614.5595
189	17583.11516
190	17541.99576
191	17513.65748
192	17487.91206
193	17444.09344
194	17411.20936
195	17363.36204
196	17330.61085
197	17286.00144
198	17239.84648
199	17205.33466
200	17169.93622
201	17135.30379
202	17098.37845
203	17055.35371
204	17022.04922
205	16992.55143
206	16971.9354
207	16958.18834
208	16929.72774
209	16906.00844
210	16872.92022
211	16832.37864
212	16821.7454
213	16784.72944
214	16766.36527
215	16752.88553
216	16729.90265
217	16713.98716
218	16676.48789
219	16644.03129
220	16615.29911
221	16594.50455
222	16561.85395
223	16533.38119
224	16521.67593
225	16505.62993
226	16498.04263
227	16476.10199
228	16467.1698
229	16432.1942
230	16405.12632
231	16396.43237
232	16365.59902
233	16336.17545
234	16303.33517
235	16292.92842
236	16282.37126
237	16257.31404
238	16217.86224
239	16202.99378
240	16186.04393
241	16166.14669
242	16145.49206
243	16111.17438
244	16089.03785
245	16076.80415
246	16041.53918
247	16035.0161
248	16026.32696
249	16015.18795
250	15985.30192
251	15954.75408
252	15946.49723
253	15913.96648
254	15883.39539
255	15848.78067
256	15814.78226
257	15778.71742
258	15772.79836
259	15727.78647
260	15696.39661
261	15688.70184
262	15660.21393
263	15629.603
264	15599.55264
265	15594.0709
266	15556.34497
267	15548.68114
268	15534.54452
269	15510.81777
270	15488.45508
271	15450.72389
272	15445.70575
273	15418.04946
274	15399.09171
275	15359.63668
276	15341.70841
277	15307.97194
278	15299.39848
279	15273.32758
280	15246.51249
281	15214.23808
282	15186.52211
283	15160.53777
284	15114.47799
285	15100.64603
286	15073.38497
287	15060.32904
288	15008.90665
289	14983.11869
290	14948.20102
291	14912.31115
292	14904.85138
293	14875.36741
294	14844.54099
295	14820.56797
296	14792.50265
297	14767.34794
298	14737.13909
299	14712.96174
300	14681.98092
301	14658.28398
302	14621.81458
303	14592.38958
304	14566.64679
305	14534.75139
306	14495.17087
307	14468.21082
308	14442.8861
309	14423.56168
310	14396.61915
311	14378.87715
312	14345.794
313	14316.9593
314	14286.58079
315	14253.65051
316	14220.91291
317	14185.96048
318	14170.39525
319	14134.89143
320	14106.76873
321	14102.2526
322	14079.67703
323	14043.64862
324	14001.36778
325	13972.87887
326	13957.16478
327	13923.02427
328	13883.75934
329	13855.89927
330	13835.21269
331	13818.81652
332	13780.07648
333	13753.34809
334	13725.76167
335	13699.54436
336	13673.90258
337	13649.41997
338	13621.32038
339	13592.97578
340	13566.3055
341	13541.85557
342	13515.99613
343	13511.5955
344	13486.82854
345	13460.60623
346	13441.20548
347	13416.63414
348	13406.33212
349	13385.73003
350	13367.85031
351	13326.65161
352	13306.67936
353	13277.43342
354	13255.27278
355	13235.16072
356	13214.96894
357	13193.01995
358	13157.79715
359	13146.15383
360	13127.74692
361	13114.03702
362	13107.88645
363	13083.16946
364	13064.45089
365	13041.97489
366	13012.75975
367	12975.54603
368	12965.67923
369	12938.07256
370	12915.97813
371	12897.56423
372	12860.92964
373	12839.66874
374	12818.29401
375	12801.71463
376	12784.03354
377	12757.02088
378	12753.86665
379	12742.01884
380	12728.15699
381	12707.11058
382	12691.71623
383	12680.72053
384	12667.24083
385	12644.85399
386	12624.07091
387	12603.491
388	12580.64058
389	12566.65851
390	12551.49473
391	12523.02116
392	12500.9267
393	12487.38755
394	12465.64898
395	12454.04632
396	12427.89831
397	12409.86483
398	12391.16802
399	12370.85719
400	12351.86728
401	12314.70928
402	12307.25084
403	12289.26712
404	12277.42423
405	12238.51762
406	12228.65911
407	12209.722
408	12185.64108
409	12171.14382
410	12164.58772
411	12143.86299
412	12120.75194
413	12116.95037
414	12098.82174
415	12074.22371
416	12058.09699
417	12035.56951
418	12024.23356
419	12001.0991
420	11976.28978
421	11949.21312
422	11931.37324
423	11920.30637
424	11900.6815
425	11883.07352
426	11879.34553
427	11859.52617
428	11833.47857
429	11813.73695
430	11799.45295
431	11790.7418
432	11782.65705
433	11765.1865
434	11752.20653
435	11744.61238
436	11731.96083
437	11722.22982
438	11700.66914
439	11683.68787
440	11667.15689
441	11646.12618
442	11623.18621
443	11610.44416
444	11587.97832
445	11584.13863
446	11555.51836
447	11538.39802
448	11508.79082
449	11494.87956
450	11476.90872
451	11457.89908
452	11440.91065
453	11424.96343
454	11409.35732
455	11388.59468
456	11367.5808
457	11345.29377
458	11329.18604
459	11327.15134
460	11320.23759
461	11304.9936
462	11293.04155
463	11274.251
464	11249.53079
465	11231.95094
466	11213.26906
467	11195.19731
468	11193.00522
469	11174.39252
470	11154.60785
471	11128.50253
472	11114.12291
473	11093.4358
474	11081.78242
475	11061.43984
476	11051.45124
477	11033.90083
478	11022.35563
479	11020.17577
480	11009.2768
481	11006.82713
482	10995.61856
483	10975.73111
484	10964.15455
485	10937.57878
486	10923.49979
487	10911.09661
488	10897.69784
489	10884.55194
490	10866.47479
491	10852.77678
492	10834.11279
493	10825.93411
494	10810.90608
495	10795.52998
496	10777.13544
497	10775.54912
498	10762.88893
499	10741.67299
500	10720.89691
501	10710.77066
502	10693.01002
503	10676.42446
504	10662.45481
505	10646.44672
506	10639.65185
507	10629.12573
508	10615.72198
509	10600.87644
510	10594.39982
511	10580.27348
512	10556.51088
513	10541.05345
514	10515.71165
515	10507.75657
516	10495.82478
517	10478.13302
518	10460.40862
519	10441.45488
520	10430.70713
521	10426.19392
522	10411.0349
523	10391.11972
524	10379.24774
525	10372.2771
526	10343.98476
527	10326.05249
528	10313.86253
529	10307.73718
530	10288.36045
531	10269.87918
532	10252.9931
533	10237.36354
534	10223.06964
535	10221.30353
536	10207.15009
537	10190.29658
538	10178.82011
539	10172.5854
540	10152.71525
541	10149.92322
542	10130.64866
543	10112.90107
544	10103.79871
545	10087.17012
546	10079.37854
547	10072.41025
548	10061.3686
549	10047.75441
550	10040.04279
551	10018.53504
552	10002.53848
553	9993.972375
554	9980.706669
555	9976.710541
556	9967.169978
557	9952.975811
558	9951.325306
559	9936.045606
560	9926.352354
561	9911.0935
562	9902.256638
563	9888.911422
564	9869.909172
565	9859.946483
566	9848.431089
567	9843.749252
568	9828.701188
569	9812.863676
570	9802.78055
571	9782.905801
572	9776.659587
573	9765.15686
574	9751.835745
575	9742.833673
576	9731.761141
577	9725.161398
578	9709.989898
579	9695.339151
580	9685.878796
581	9662.788292
582	9653.411239
583	9638.78816
584	9622.563064
585	9597.927543
586	9586.827388
587	9575.959775
588	9561.819131
589	9539.535087
590	9529.5366
591	9518.501484
592	9499.905339
593	9492.713174
594	9480.644729
595	9470.62799
596	9463.93431
597	9454.578657
598	9445.190842
599	9440.241191
600	9439.01878
601	9424.546437
602	9418.130319
603	9397.767577
604	9396.098149
605	9386.877026
606	9369.379733
607	9359.504073
608	9337.860738
609	9325.772102
610	9311.012882
611	9304.358871
612	9289.236119
613	9278.746861
614	9262.951023
615	9254.946047
616	9244.065219
617	9224.88713
618	9217.915295
619	9210.581847
620	9207.148142
621	9205.208681
622	9185.973834
623	9172.318824
624	9155.397547
625	9149.935153
626	9140.238463
627	9128.898117
628	9119.57336
629	9103.498361
630	9087.327083
631	9082.46257
632	9070.898724
633	9058.068476
634	9044.447477
635	9034.877985
636	9023.494345
637	9015.872389
638	9014.029633
639	9009.698652
640	8996.280907
641	8987.269165
642	8976.783823
643	8967.321572
644	8956.678751
645	8942.394227
646	8937.814313
647	8924.045393
648	8913.847013
649	8902.457078
650	8891.663666
651	8883.1108
652	8870.102782
653	8854.951551
654	8852.391554
655	8843.435388
656	8834.56314
657	8823.607391
658	8813.917683
659	8804.166145
660	8800.56534
661	8778.953487
662	8767.105754
663	8759.002898
664	8743.264143
665	8729.991267
666	8720.372934
667	8710.576031
668	8699.153421
669	8686.100819
670	8675.232009
671	8663.384044
672	8653.561247
673	8645.158581
674	8640.148552
675	8621.980401
676	8610.023828
677	8591.868497
678	8588.234269
679	8576.565519
680	8567.207281
681	8553.652795
682	8540.939651
683	8535.65952
684	8530.331592
685	8523.005557
686	8516.163765
687	8509.601245
688	8494.528722
689	8482.329372
690	8480.801153
691	8468.87956
692	8454.219024
693	8451.93789
694	8442.762186
695	8439.339719
696	8434.46022
697	8425.457706
698	8418.182532
699	8403.605969
700	8392.964933
701	8381.311604
702	8376.13731
703	8369.284325
704	8359.169895
705	8348.544857
706	8344.11297
707	8339.746082
708	8328.793903
709	8314.099426
710	8306.214639
711	8299.003496
712	8284.929795
713	8283.421064
714	8270.213463
715	8258.160766
716	8253.516303
717	8239.780556
718	8224.333018
719	8216.926499
720	8211.443957
721	8207.21866
722	8197.989611
723	8186.299867
724	8171.623783
725	8156.033824
726	8146.0868
727	8136.022157
728	8127.472362
729	8118.336886
730	8108.223843
731	8104.828573
732	8095.09888
733	8086.442781
734	8078.517814
735	8061.391665
736	8056.143307
737	8045.609913
738	8044.349487
739	8039.211753
740	8033.917655
741	8020.323225
742	8011.54753
743	8003.992696
744	7991.919301
745	7981.158008
746	7964.935024
747	7955.162166
748	7942.34136
749	7937.769537
750	7924.594544
751	7912.801295
752	7902.557022
753	7891.916247
754	7880.356381
755	7871.309023
756	7861.207446
757	7849.947566
758	7840.883626
759	7826.871341
760	7816.623499
761	7805.685574
762	7795.152005
763	7788.974979
764	7787.504016
765	7774.113476
766	7772.14916
767	7761.094092
768	7750.906825
769	7745.22772
770	7735.194472
771	7729.371719
772	7719.246679
773	7710.389405
774	7707.069887
775	7697.998667
776	7690.75718
777	7681.8555
778	7675.027207
779	7667.613276
780	7654.507654
781	7643.587121
782	7642.277381
783	7626.000602
784	7619.813691
785	7613.207766
786	7603.855698
787	7597.893585
788	7587.912918
789	7576.219174
790	7563.488874
791	7548.57953
792	7545.744011
793	7539.049845
794	7527.737215
795	7512.966237
796	7504.576524
797	7491.704914
798	7484.642091
799	7477.407152
800	7466.838473
801	7454.874274
802	7445.886499
803	7439.652779
804	7434.731346
805	7429.801459
806	7421.060898
807	7417.251096
808	7406.71696
809	7402.15112
810	7391.781945
811	7384.853391
812	7377.792997
813	7370.390927
814	7352.706512
815	7340.914232
816	7324.87975
817	7316.326064
818	7306.164947
819	7298.594954
820	7292.148962
821	7291.180993
822	7279.875201
823	7270.618952
824	7264.408614
825	7254.116093
826	7244.784024
827	7235.205076
828	7224.375943
829	7215.094887
830	7205.668951
831	7197.707523
832	7191.335582
833	7181.408698
834	7176.02231
835	7165.469905
836	7157.209194
837	7150.40909
838	7146.614069
839	7134.113339
840	7123.452577
841	7118.659546
842	7112.575585
843	7101.250603
844	7092.223026
845	7083.733487
846	7079.572029
847	7078.208852
848	7067.247419
849	7056.187974
850	7051.6615
851	7043.922006
852	7039.340559
853	7034.131511
854	7025.871942
855	7012.112054
856	7005.107706
857	6997.015701
858	6993.552742
859	6988.624727
860	6981.492374
861	6976.990583
862	6966.609321
863	6959.728469
864	6957.831407
865	6950.084971
866	6942.312426
867	6932.97108
868	6925.806331
869	6921.641626
870	6920.735459
871	6912.063869
872	6905.659908
873	6900.595211
874	6890.692328
875	6879.840366
876	6871.779595
877	6863.901483
878	6860.24733
879	6853.479963
880	6846.638054
881	6840.50107
882	6829.05449
883	6825.418217
884	6824.588865
885	6823.831327
886	6817.026651
887	6809.3801
888	6799.539852
889	6794.01041
890	6786.312306
891	6781.626982
892	6769.691546
893	6761.854424
894	6759.382094
895	6751.123088
896	6745.711652
897	6737.894053
898	6728.682739
899	6719.39334
900	6713.465942
901	6700.82923
902	6690.198001
903	6683.935515
904	6677.441248
905	6669.15402
906	6668.478712
907	6667.565195
908	6663.146463
909	6659.041088
910	6652.316569
911	6646.781477
912	6646.085598
913	6640.143535
914	6634.878917
915	6628.852827
916	6621.911368
917	6614.71877
918	6608.709909
919	6607.742241
920	6597.732631
921	6596.265276
922	6588.61142
923	6581.839293
924	6573.638358
925	6567.427224
926	6561.070549
927	6551.027541
928	6545.263446
929	6535.992054
930	6529.244306
931	6522.760618
932	6516.400412
933	6506.883618
934	6499.540771
935	6493.518822
936	6482.295548
937	6481.493516
938	6470.908247
939	6469.300883
940	6462.530339
941	6455.898938
942	6453.61372
943	6440.168942
944	6429.576323
945	6428.712502
946	6423.703961
947	6415.893592
948	6403.942447
949	6395.996471
950	6389.513944
951	6382.99043
952	6373.464662
953	6364.686167
954	6358.185182
955	6349.505149
956	6343.113628
957	6337.842395
958	6326.893973
959	6315.387477
960	6311.245347
961	6305.33466
962	6300.167716
963	6293.602239
964	6289.760473
965	6283.418633
966	6282.77478
967	6275.758077
968	6271.892553
969	6264.003321
970	6260.416359
971	6250.01218
972	6242.613745
973	6233.420686
974	6225.96297
975	6223.920407
976	6214.495942
977	6211.875755
978	6205.619422
979	6197.421106
980	6193.12304
981	6182.345162
982	6178.526406
983	6175.370642
984	6167.59354
985	6162.061358
986	6156.677854
987	6151.071239
988	6143.144682
989	6140.199595
990	6138.720228
991	6134.171945
992	6131.110683
993	6124.644935
994	6114.757495
995	6109.920797
996	6094.64671
997	6086.240526
998	6078.17859
999	6074.164457
