iter	Passed	Remaining
0	1	1835
1	3	1675
2	4	1569
3	6	1506
4	7	1473
5	8	1471
6	10	1454
7	11	1429
8	12	1411
9	14	1398
10	15	1384
11	16	1340
12	17	1342
13	18	1334
14	20	1326
15	21	1320
16	22	1314
17	24	1310
18	25	1307
19	26	1303
20	27	1305
21	29	1303
22	30	1300
23	31	1296
24	33	1293
25	34	1291
26	35	1288
27	37	1285
28	38	1287
29	39	1284
30	41	1281
31	42	1279
32	43	1276
33	44	1275
34	46	1276
35	47	1273
36	48	1271
37	50	1270
38	51	1268
39	52	1266
40	54	1264
41	55	1262
42	56	1260
43	57	1259
44	59	1257
45	60	1255
46	61	1253
47	63	1252
48	64	1249
49	65	1248
50	67	1248
51	68	1247
52	69	1245
53	70	1242
54	72	1242
55	73	1240
56	74	1238
57	76	1237
58	77	1235
59	78	1234
60	80	1232
61	81	1230
62	82	1228
63	83	1227
64	85	1225
65	87	1231
66	88	1233
67	89	1231
68	91	1229
69	92	1229
70	93	1227
71	95	1231
72	97	1240
73	98	1238
74	100	1236
75	101	1234
76	102	1232
77	104	1230
78	105	1228
79	106	1225
80	107	1223
81	109	1222
82	110	1220
83	111	1218
84	113	1216
85	114	1214
86	115	1212
87	116	1210
88	118	1208
89	119	1207
90	120	1205
91	121	1203
92	123	1201
93	124	1199
94	125	1198
95	127	1196
96	128	1194
97	129	1192
98	130	1190
99	132	1188
100	133	1187
101	134	1185
102	135	1184
103	137	1182
104	138	1180
105	139	1178
106	141	1177
107	142	1177
108	144	1178
109	146	1181
110	148	1190
111	150	1192
112	152	1199
113	154	1203
114	156	1201
115	157	1199
116	158	1197
117	161	1208
118	163	1211
119	165	1215
120	168	1222
121	170	1229
122	172	1232
123	174	1235
124	176	1237
125	178	1239
126	181	1244
127	182	1246
128	186	1259
129	188	1263
130	190	1266
131	194	1279
132	196	1283
133	199	1287
134	201	1288
135	202	1289
136	205	1295
137	207	1296
138	209	1298
139	212	1302
140	214	1304
141	216	1309
142	219	1313
143	221	1315
144	223	1317
145	225	1319
146	227	1321
147	229	1322
148	231	1322
149	234	1327
150	236	1329
151	239	1334
152	241	1334
153	243	1338
154	245	1339
155	251	1359
156	252	1357
157	254	1356
158	256	1356
159	258	1357
160	260	1359
161	262	1359
162	265	1362
163	267	1361
164	269	1363
165	271	1365
166	273	1364
167	275	1366
168	278	1367
169	280	1369
170	282	1371
171	284	1368
172	285	1365
173	287	1364
174	289	1366
175	292	1367
176	293	1365
177	296	1369
178	298	1369
179	300	1371
180	303	1371
181	304	1369
182	307	1370
183	310	1374
184	312	1375
185	314	1377
186	316	1374
187	317	1371
188	319	1369
189	321	1370
190	323	1370
191	325	1368
192	326	1365
193	328	1363
194	330	1364
195	332	1365
196	335	1366
197	337	1365
198	339	1364
199	341	1364
200	343	1366
201	345	1365
202	346	1362
203	348	1358
204	349	1355
205	351	1353
206	353	1352
207	355	1351
208	358	1355
209	359	1353
210	363	1358
211	365	1356
212	367	1356
213	368	1355
214	370	1353
215	373	1355
216	379	1371
217	381	1367
218	382	1365
219	385	1367
220	388	1367
221	391	1372
222	394	1373
223	396	1373
224	399	1374
225	402	1377
226	404	1376
227	406	1376
228	408	1376
229	410	1373
230	411	1370
231	413	1367
232	414	1364
233	415	1361
234	417	1358
235	418	1355
236	420	1352
237	421	1349
238	422	1346
239	424	1343
240	425	1341
241	427	1338
242	428	1335
243	431	1335
244	433	1336
245	436	1336
246	438	1336
247	440	1336
248	443	1338
249	446	1338
250	448	1337
251	450	1337
252	452	1336
253	454	1335
254	456	1334
255	459	1334
256	461	1333
257	463	1332
258	465	1330
259	466	1327
260	467	1324
261	469	1322
262	471	1322
263	607	1692
264	614	1704
265	616	1700
266	617	1695
267	619	1690
268	620	1686
269	621	1681
270	623	1676
271	624	1671
272	626	1667
273	627	1662
274	628	1657
275	630	1652
276	631	1648
277	632	1643
278	633	1638
